username,message,name
ludmilapalhano.psiquiatra,love how you helped 1500+ mentees go from $0 to $100k – that's some serious impact lol. do you work 1:1 with your students?,Ludmila
namulwany,hey melanie - i love how you're not just a digital marketing expert but also mentoring and speaking at events while keeping that traveler/foodie vibe alive! lol. do you offer 1:1 coaching?,Melanie
chamtangofficial,"hey cham, love how you get straight to the point with no fluff in your masterclass, haha. do you offer 1:1s too?",Cham
toni_everard,"love how you mix mindset, communication, and strategy like three power moves in one (AND dropping tips on a podcast, too 👏) - do you offer 1:1 coaching?",Toni
teacherprix,"priscila, love how you're helping pre-intermediate speakers go from stuck to fluent in just 6 months (seriously, that’s massive)! do you still offer live lessons?",Priscila
ed.paget,"hey ed, I love how you've stepped up to *own* the scoliosis space with your course—feels like you're changing lives daily. do you do 1:1 coaching alongside the course?",Ed
yg_thecareergem,"i love how you're closing the latina pay gap one mujer at a time, yanira 💪 do you offer 1:1 coaching?",Yanira
j.t.odonnell,hey J.T.! love how you're making career coaching feel personal through WorkItDAILY — feels like you're really reinventing how people approach job searches. do you offer any 1:1 coaching on top of your programs?,J.T.
ronnie.built.that,"ronnie, I love how you're all about building those glutes and keeping it 🔥 with that booty guide! do you also offer 1:1 training?",Ronnie
yamileetoussaint,"hey yamilee, love how you’re using dance to change how girls see STEM 🤯 do you offer any workshops for schools?",Yamilee
iammichellecaba,"michelle, love how you've blended your powerhouse biz strategy with the golfing world - super unique combo! 

do you still run the style your business program?",Michelle
lisaespinosa_,"lisa, love how you help people avoid burnout while still making a big impact 🙌 do you offer 1:1s?",Lisa
theninthsemester,"love how you’re making waves teaching Gen Z how to land those killer jobs—props for repping NYC and Chi, too! do you offer 1:1 sessions?",Jade
sidpaulson1,"love how you’ve mastered bodyweight strength and flexibility—10 years in, that’s next-level consistency haha! do you offer 1:1 coaching?",Sid
empowered_child_ministries,"bazira, your work is so inspiring! i love how you've made it your mission to not only care for kids but spread hope every day. do you offer ways for people to get involved directly?",Bazira
mr1percenter_,"tyree, love how you're all about scaling businesses and actually turning people into millionaires—so many coaches just say it but never deliver. do you help with e-commerce brands too?",Tyree
geisharene,"love how you're making fitness real for busy af moms, crying for more of that balance, lol. do you offer 1:1 coaching?",Geisha
the_seduxe,Please provide the Instagram data for me to analyze and generate the appropriate response.,Amber
roshanzameer.yt,"roshan, love how you're building out those YTA channels and making it sound so simple to get started. do you work 1:1 with people on growing their channels?",Roshan
thecarnivoremummy,"i love how you're all about movement, health, and making the nervous system your superpower 🔥 do you do 1:1 work with your clients?",The Carnivore
