username,name,message
ludmilapalhano.psiquiatra,Ludmila,love how you helped 1500+ mentees go from $0 to $100k – that's some serious impact lol. do you work 1:1 with your students?
namulwany,Melanie,hey melanie - i love how you're not just a digital marketing expert but also mentoring and speaking at events while keeping that traveler/foodie vibe alive! lol. do you offer 1:1 coaching?
chamtangofficial,Cham,"hey cham, love how you get straight to the point with no fluff in your masterclass, haha. do you offer 1:1s too?"
toni_everard,Toni,"love how you mix mindset, communication, and strategy like three power moves in one (AND dropping tips on a podcast, too 👏) - do you offer 1:1 coaching?"
teacherprix,Priscila,"priscila, love how you're helping pre-intermediate speakers go from stuck to fluent in just 6 months (seriously, that’s massive)! do you still offer live lessons?"
ed.paget,Ed,"hey ed, I love how you've stepped up to *own* the scoliosis space with your course—feels like you're changing lives daily. do you do 1:1 coaching alongside the course?"
yg_thecareergem,Yanira,"i love how you're closing the latina pay gap one mujer at a time, yanira 💪 do you offer 1:1 coaching?"
j.t.odonnell,J.T.,hey J.T.! love how you're making career coaching feel personal through WorkItDAILY — feels like you're really reinventing how people approach job searches. do you offer any 1:1 coaching on top of your programs?
ronnie.built.that,Ronnie,"ronnie, I love how you're all about building those glutes and keeping it 🔥 with that booty guide! do you also offer 1:1 training?"
yamileetoussaint,Yamilee,"hey yamilee, love how you’re using dance to change how girls see STEM 🤯 do you offer any workshops for schools?"
iammichellecaba,Michelle,"michelle, love how you've blended your powerhouse biz strategy with the golfing world - super unique combo! 

do you still run the style your business program?"
lisaespinosa_,Lisa,"lisa, love how you help people avoid burnout while still making a big impact 🙌 do you offer 1:1s?"
theninthsemester,Jade,"love how you’re making waves teaching Gen Z how to land those killer jobs—props for repping NYC and Chi, too! do you offer 1:1 sessions?"
sidpaulson1,Sid,"love how you’ve mastered bodyweight strength and flexibility—10 years in, that’s next-level consistency haha! do you offer 1:1 coaching?"
empowered_child_ministries,Bazira,"bazira, your work is so inspiring! i love how you've made it your mission to not only care for kids but spread hope every day. do you offer ways for people to get involved directly?"
mr1percenter_,Tyree,"tyree, love how you're all about scaling businesses and actually turning people into millionaires—so many coaches just say it but never deliver. do you help with e-commerce brands too?"
geisharene,Geisha,"love how you're making fitness real for busy af moms, crying for more of that balance, lol. do you offer 1:1 coaching?"
the_seduxe,Amber,Please provide the Instagram data for me to analyze and generate the appropriate response.
roshanzameer.yt,Roshan,"roshan, love how you're building out those YTA channels and making it sound so simple to get started. do you work 1:1 with people on growing their channels?"
thecarnivoremummy,The Carnivore,"i love how you're all about movement, health, and making the nervous system your superpower 🔥 do you do 1:1 work with your clients?"
nettadobbins,Netta,"nettaaa, I love how you're repping #growwithgoogle for TN and thriving in the marketing space! do you offer 1:1 coaching?"
k.a.nelson,Kate,"hey kate, love how you've been shedding light on indigenous stories in some major outlets—it’s clear you’re giving voice to something bigger than all of us. do you offer any 1:1 editing sessions?"
max_tornow_business,Max,"max, love how you’ve scaled **$10m** in student results—pure proof your system works. do you help them hit their first 6 figures too?"
type1.dr.jody.nd,Jody,"jody, love how you’ve been supporting the T1D community with telemedicine—using your own journey since age 7 to help others is powerful! do you offer 1:1 consultations?"
gcode3bm,G-Code,"yo g-code, love how you're out here reppin’ the hood and giving back through football and mentorship - straight inspiration, man. do you coach 1:1?"
bjjpt_acl_guy,Athlete,"wow, love how you're blending sports rehab and the bjj mindset—makes sense coming from a black belt like you! do you offer any 1:1 programs for athletes recovering from knee injuries?"
kalikaratestudio,Kali,"haha 3 ex-wives and bet it all on Bitcoin... sounds like you've been through some gladiator-level battles, man! do you run any 1:1 training?"
jakeleiskewillis,Jake,"hey jake, I love how you’re helping parents go from rage to real peace without the guilt—powerful stuff, man. do you offer 1:1 coaching?"
love.evolv.ed,Love,"love, healing codependency and secure attachment work through therapy and breathwork? talk about *truly* transformative. do you offer 1:1 sessions?"
princetoncareer,Center,Not-qualified
dawnbradley,Dawn,"dawn, love how you're all about helping service biz owners make more $$$ without doubling the work—so rare haha. you do 1:1 coaching?"
louise_badasscoaching,Louise,"love how you’re all about building a mindset that’s as strong as the body, haha — feels like that’s something so many women are missing out on! do you offer 1:1 coaching?"
zachmentalloadcoach,Zach,"zach, your take on invisible labor and helping men step up with emotional work is 🔥 – do you offer 1:1 sessions?"
ruthysonntag,Ruthy,"love how you’re empowering both entrepreneurs AND kids to step into their power, that’s next-level impact 🙌 do you offer 1:1 coaching?"
showupsociety,Tammie,"tammie, I love how you're helping creatives and athletes actually *enjoy* the process instead of burning out, that's such a fresh angle! do you offer 1:1 coaching?"
coachkarfei,Karfei,"karfei, love that you're raising the bar for coaches to up their income *and* impact — the Forbes and Mindvalley creds don't hurt either haha. do you work with 1:1 clients?"
laceyfrench,Lacey,i love how you're helping women fix their relationship with food while still chasing fat loss goals 🙌 do you do all your 1-1 coaching online?
bjjpt_acl_guy,Athlete,"love how you're blending sports PT with BJJ principles—seriously takes movement mastery to another level, lol. do you offer 1:1 sessions at athlete lab?"
kalikaratestudio,Kali,"haha, kali, the 3 ex-wives, bitcoin crash, and still fighting — you’ve definitely seen it all and kept going, respect.  
do you do any coaching around that fighter mindset?"
jakeleiskewillis,Jake,"hey Jake, love how you're flipping the script on parenting—turning the chaos of yelling and guilt into confident, peaceful vibes. do you offer 1:1 coaching?"
love.evolv.ed,Love,"love, I can feel how deeply you're committed to helping people create conscious, secure relationships—healing that codependency is no joke 😅 do you do 1:1 therapy?"
princetoncareer,Center,Not-qualified
dawnbradley,Dawn,love how you’re helping biz owners make more money without working more—feels so needed right now! do you offer group coaching?
louise_badasscoaching,Louise,"love how you’re cutting through all the yo-yo noise and making that badass mindset build true success for your clients, lol. do you offer 1:1 coaching?"
zachmentalloadcoach,Zach,love how you're helping men step up and share the invisible weight that often goes unnoticed—feels like you’re changing families for the better. do you offer 1:1 coaching?
ruthysonntag,Ruthy,"i love how you’re helping kids think, speak, and act like little champions! do you help entrepreneurs 1:1 too?"
showupsociety,Tammie,"hey tammie, love how you're all about helping creatives **and** athletes hit their goals *without* the stress + burnout—it’s like you’re making success actually *fun* lol! do you offer 1:1 coaching?"
coachkarfei,Karfei,"karfei, I love how you're empowering coaches to shine brighter and make real impact—especially with those Forbes and Mindvalley creds, haha. do you mostly help with scaling their income?"
simonsquibb,Simon,"man, i seriously love how you're out here helping founders *and* investing in the future with ideas like HelpBnk 👏 do you offer 1:1 business advice?"
dorthahise,Dortha,"love how you empower women to not just optimize systems but also take care of their mental well-being, that’s next-level leadership! do you offer 1:1s?"
digital_diva_diana,Diana,love that you're all about turning passion into income w/ content that connects – feels super aligned with what people need rn! do you help creators launch digital products too?
dwighttaylorsr,Dwight,"Qualified

hey dwight, really love how you don’t just help people communicate better—you help them *dominate* their day in every way, haha. do you offer 1:1 coaching?"
reimbursement_dietitian,Reimbursement,"Qualified.

""love how you’re helping dietitians level up with insurance strategies—you're showing the industry there’s *real* money on the table haha. do you offer 1:1 coaching as well?"""
