username,name,message
instacoachandy,andrea,"andrea, i love how you've built a whole business around helping others grow on instagram. do you still have space in your courses?"
coachvalj,val,"hey val, loving your whole approach – unlocking blocks in minutes is a game changer. are you offering 1:1s right now?"
coach_ryan_h,ryan,"yo ryan, love how you blend dating, relationships, and life coaching into one offer—so rare and so needed today. are you still doing 1:1 sessions?"
shaunholden_lifecoaching,shaun,you're really on point with helping business owners stop self sabotage so they can thrive. are you doing 1:1 sessions right now?
thenourisherbh,hamad,"hey hamad, love how you're hitting on mindset, nutrition, and movement all together for wellbeing. do you offer 1:1 coaching?"
coachhamish,hamish,"hey hamish, love how you've managed to blend your championship experience with 20+ years of coaching into actionable tutorials. do you still offer 1:1 coaching or is it all your tutorials now?"
mindcoachhazel,hazel,"hey hazel, love how you bring neuroscience into the mental health and wellness space. really refreshing approach. do you offer 1:1 therapy sessions?"
death.care.coach,katie,"hey katie, i love how you help people prepare for the toughest part of life with such care and intention. do you do 1:1 end of life planning?"
coach.spider,nassaminu,"yo nassaminu, love how you blend mcfit performance with personal motivation - feels like you're pushing people to a whole new level. do you do 1:1 coaching or is it all through mcfit?"
joe_thetradesmanscoach,joe,"yo joe, love how you're helping tradesmen double their energy. do you work with clients 1:1 too?"
heidy_imt,heidy,"hey, love seeing a coach with such an interesting background like yours – arab, japanese, chinese, plus leading dodgeball in malaysia... do you do any 1:1 coaching?"
panda.coach,josé,"yo josé, just checked out your page man, love how you focus on every aspect of performance - from mobility to gymnastic skills. are you offering coaching for crossfit athletes?"
lethalshooter,chris,"yo chris, man, i respect the work ethic you're putting in as a trainer with that precision shooting mindset, not to mention two world records lol. curious, are you still taking on new clients for coaching?"
coachnic_,nic,"hey nic, love how you've been dialed into making athletes more explosive for 18+ years, man. are you doing most of your coaching online now or in person?"
imdanielleroberts,danielle,"hey danielle, love how you're breaking down the myth of "dream jobs" haha finally someone saying what we're all thinking… do you work 1:1 with your clients?"
dr_knuckles_strengthcoach,nakul,"yo nakul, saw you're blending top-notch sport performance with health & fitness - love how you're using your phD to truly elevate the game. are you coaching both online and in person?"
coachaksingh,abhishek,"yo abhishek, love how you've helped over 1400 guys level up - that's some serious impact. are you still taking 1:1 calls?"
the_comeback_coach_,joanna,"hey joanna, love how you help people not just move on but truly step into their power after a breakup… magic stuff. are you still doing 1:1 coaching?"
coach_acos,acos,"yo acos, love how you're all about crushing average for incredible results - the way you frame that is next-level. are you offering 1:1 coaching or group programs?"
coach.rehablotfiie,rehab,"hey rehab, love how you're all about helping people improve their relationship with themselves first before others…you still doing 1:1 sessions?"
the_fear_coach,coach,"hey, love how you're getting to the core of what holds back top performers - fear is hands down the toughest block. do you do 1:1 coaching for that?"
coach.bliss_,bliss,"hey blissmode, love how you're all about helping girls finally get the results they should be seeing after so much hard work. do you do mainly 1:1 or do you have a group coaching option too?"
coachcath_,cath,"hey cath, love how you're all about helping people hit goals without frustration. do you do 1:1 coaching?"
dishake.lol.coach,dishake,"yo dishake, man, being a 3x national champ and 6 years in challenger is insane. are you still offering coaching to help people climb 2 leagues?"
coach.kait_,kait,love that you're all about fitness coaching from a champion's mindset - do you offer 1:1 plans?
the.teachers.health.coach,charlie,"hey charlie, love how you make wellbeing manageable and focus on bitesize behaviors for teachers. do you do any 1:1 coaching?"
lifecoachingwithlauramarie,derby,"hey derby, love how you focus on boosting confidence by unlocking full potential for 10 years now. do you do 1:1 coaching?"
theshiftworkerscoach,grace,"hey grace, love how you're helping shift workers actually *live* more without burning out. do you still offer 1:1 coaching sessions?"
coach4expats,mariel,"hey mariel, love how you're all about helping people chase their dream job across borders – feels like such a gamechanger in today's world. do you do 1:1 coaching too?"
coach.bluee,lucas,"yo lucas, i love how you talk about finding your inner beast while building muscle and burning fat at the same time. are you doing 1:1 coaching or is it group too?"
trainwithcoachkiy,kiy,"hey coach, love your mission of building the next generation of winners. are you still taking on new athletes for training sessions?"
evelynkearnscoaching,evelyn,"hey evelyn, i love how you focus on mindset work not just for adults but teens too - so few coaches really do that. are you still offering 1:1 coaching?"
theselfdevelopmentcoach,johnny,"hey johnny, love how you're all about bridging that emotional gap and making real behavioral change. are you still doing 1:1 coaching or just focusing on the podcast lately?"
thatswimcoachmitch,mitch,"hey mitch, i love how you're stacking wins in the swim world while helping others hit that next level. do you only work with swim school owners or do you do general coaches too?"
official_coacht,coach t,"hey coach t, love how you're scaling people to 7 figures without ads… mad respect for that. are you still running those free trainings?"
pascal_coaching,pascal,"yo pascal, love how you mix that boxing energy with fitness coaching. are you mainly coaching 1:1 or you got group programs too?"
brock11johnson,brock,"hey, love how you're helping creators and biz owners not just grow but actually make money. do you still have spots open in InstaClubHub?"
the.freelance.coach,anna,"hey anna, love how you've built a 6-figure freelance biz while juggling life with 3 kids and teaching 2,500+ students - do you offer 1:1 coaching too?"
coach.guillermomeza,guillermo,hey! love your whole mindset shift from zero to hero - def hit home for me. do you do 1:1 coaching too?
mattyoung.mindcoach,matt,"hey matt, love how you've built such credibility around overcoming anxiety with clients. are you still doing 1:1s?"
artistic_swimming_coach,agata,"hey agata, amazing how you've built a whole program around helping both athletes and coaches come into their full potential. are your online programs 1:1 or group-based?"
prakritimadan,prakriti,"hey prakriti, love how you went from 700 to 20k in 3 weeks - super impressive! are you still taking on 1:1 coaching clients?"
coach__fouad,fouad,"hey fouad, love how you integrate trx and functional training into your coaching - feels like you're all about movement that builds real strength. curious, do you offer online 1:1 coaching?"
harshal_milani,harshal,"hey harshal, i love how you actually walk the talk with your coaching and keep things real. do you still have space for 1:1 coaching sessions?"
jade_skillen_performance_coach,jade,"yo, man - absolutely insane what you've built with the hyrox training and those 250+ wc qualifications. are you still taking on new athletes for your coaching?"
willnelson_coach_,will,"yo will, love how you focus on ads over organic to authentically generate clients. are you still working 1:1 with coaches right now?"
the.socialmediacoach,em,"hey em, love how your smc community really seems hands-on with helping people get things done. do you do any 1:1 coaching too?"
stephandt,steph,"hey steph, love how you blend clinical nutrition with pro bodybuilding - not something you see often. do you offer 1:1 coaching?"
iamjoelbrown,joel,"yo joel, love how you're all about teaching respect + clarity in coaching - hard to find that balance these days. you still taking on new coaching clients?"
mindcoachhazel,hazel,"hey hazel, i love how you're blending neuroscience with mental health and sports, that's such a unique angle. do you offer 1:1 sessions?"
coachsadiq,sadiq,"hey, love how you're helping spiritual + introverted entrepreneurs find their groove. do you offer 1:1 coaching?"
the.socialmediacoach,emily,"hey emily, love how your smc community is all about giving people that extra hand when they need it. do you offer 1:1 coaching sessions?"
iamjoelbrown,joel,"hey joel, love how you're all about building a strong, respected coaching rep while keeping it real. do you mainly do 1:1s or group coaching too?"
jade_skillen_performance_coach,hybrid,"yo hybrid, 250+ hyrox wc qualifications is insane. are you taking on more clients or maxed out?"
the.freelance.coach,anna,"hey anna! i love how you've helped so many freelancers get to six figures while juggling life as a mom—super inspiring. are you still running that free training?"
prakritimadan,prakriti,"hey prakriti! love how you blew up from 700 to 20k in just 3 weeks - that's next level. are you still offering 1:1 coaching?"
ryssdom_coaching,aryssa,"hey aryssa, love your focus on healing through 1:1 coaching... are you still taking on clients right now?"
the.compatibility.coach,caitlin,"hey caitlin, love how you help women trust their timeline and still meet someone great - feels so freeing, not rushed. are you doing 1:1 coaching or all group programs?"
trainwithpj,pj,"yo pj, love how you bring that fightcamp energy man, balancing family life and training is no joke. are you doing any online coaching right now?"
iamkarendwyer,karen,"hey karen, i love how you've flipped your personal story into helping others boost their energy and balance. do you offer 1:1 coaching too?"
andreafr.coaching,andrea,"hey andrea, i love how you're straight up about helping burnt out professionals get clarity - so needed right now. do you still offer that free class?"
heyitscoachjp,jp,"hey jp, love how you're all about confidence training and reaching clients worldwide. do you still offer virtual lessons?"
therelationshipcoach.ie,annie,"hey annie, love how you weave personal growth into relationship challenges on your podcast... are you still working 1:1 with clients?"
brock.coach,brock,"brock, saw your bio and love how you're all about creating freedom while riding cross-country. do you mostly offer coaching 1:1?"
iamkarendwyer,karen,"hey karen, love how you're turning the tables on MS and giving people real tools to fight back. you still offering that "MS to success" masterclass?"
thetransformationcoach_,greg,"hey greg, love that you're helping high achievers and career-driven parents crush their fitness goals… are you doing 1:1 coaching or more group-based?"
brandonmorgan.coach,brandon,"yo brandon, love how you're blending strength coaching with education... gotta ask, are your training programs purely in person or you offer online too?"
coach.souha,souha,"hey souha! love how you're blending physical education with pilates and taekwondo, really unique approach. do you offer online coaching programs?"
mechellelewisfreeman,mechelle,"hey mechelle, love how you're not just coaching champions but also shaping the mindset behind winning. do you do 1:1 coaching too or just teams?"
drcamcaswell,cam,"hey cam, love how you're focusing on building trust and connection with parents and teens - super important work. do you offer 1:1 support too?"
alexresiliencecoach,alex,"hey alex, love how you're empowering people to literally take back their mind in your content — feels like you've found a way to make resilience tangible. do you still offer the free resilience questions?"
_thewkcoach,coach,hey! love how you're helping keepers improve one catch at a time—no shortcuts. are you offering 1:1 sessions too?
el_coach_andres,andrés,"andrés, reading your page it's clear you've got a deep understanding that healing is the key to leveling up… did you build a program for that or are you doing 1:1?"
