username,message
instacoachandy,"andrea, i love how you've built a whole business around helping others grow on instagram. do you still have space in your courses?"
coachvalj,"hey val, loving your whole approach – unlocking blocks in minutes is a game changer. are you offering 1:1s right now?"
coach_ryan_h,"yo ryan, love how you blend dating, relationships, and life coaching into one offer—so rare and so needed today. are you still doing 1:1 sessions?"
shaunholden_lifecoaching,you're really on point with helping business owners stop self sabotage so they can thrive. are you doing 1:1 sessions right now?
thenourisherbh,"hey hamad, love how you're hitting on mindset, nutrition, and movement all together for wellbeing. do you offer 1:1 coaching?"
coachhamish,"hey hamish, love how you've managed to blend your championship experience with 20+ years of coaching into actionable tutorials. do you still offer 1:1 coaching or is it all your tutorials now?"
mindcoachhazel,"hey hazel, love how you bring neuroscience into the mental health and wellness space. really refreshing approach. do you offer 1:1 therapy sessions?"
death.care.coach,"hey katie, i love how you help people prepare for the toughest part of life with such care and intention. do you do 1:1 end of life planning?"
coach.spider,"yo nassaminu, love how you blend mcfit performance with personal motivation - feels like you're pushing people to a whole new level. do you do 1:1 coaching or is it all through mcfit?"
joe_thetradesmanscoach,"yo joe, love how you're helping tradesmen double their energy. do you work with clients 1:1 too?"
heidy_imt,"hey, love seeing a coach with such an interesting background like yours – arab, japanese, chinese, plus leading dodgeball in malaysia... do you do any 1:1 coaching?"
panda.coach,"yo josé, just checked out your page man, love how you focus on every aspect of performance - from mobility to gymnastic skills. are you offering coaching for crossfit athletes?"
lethalshooter,"yo chris, man, i respect the work ethic you're putting in as a trainer with that precision shooting mindset, not to mention two world records lol. curious, are you still taking on new clients for coaching?"
coachnic_,"hey nic, love how you've been dialed into making athletes more explosive for 18+ years, man. are you doing most of your coaching online now or in person?"
imdanielleroberts,"hey danielle, love how you're breaking down the myth of dream jobs"" haha finally someone saying what we're all thinking… do you work 1:1 with your clients?"""
dr_knuckles_strengthcoach,"yo nakul, saw you're blending top-notch sport performance with health & fitness - love how you're using your phD to truly elevate the game. are you coaching both online and in person?"
coachaksingh,"yo abhishek, love how you've helped over 1400 guys level up - that's some serious impact. are you still taking 1:1 calls?"
the_comeback_coach_,"hey joanna, love how you help people not just move on but truly step into their power after a breakup… magic stuff. are you still doing 1:1 coaching?"
coach_acos,"yo acos, love how you're all about crushing average for incredible results - the way you frame that is next-level. are you offering 1:1 coaching or group programs?"
coach.rehablotfiie,"hey rehab, love how you're all about helping people improve their relationship with themselves first before others…you still doing 1:1 sessions?"
