Name,Username,Message,Status
Kali,kalikaratestudio,"haha, kali, the 3 ex-wives, bitcoin crash, and still fighting — you’ve definitely seen it all and kept going, respect.  
do you do any coaching around that fighter mindset?",Error: Could not find Kali in search results.
Jake,jakeleiskewillis,"hey Jake, love how you're flipping the script on parenting—turning the chaos of yelling and guilt into confident, peaceful vibes. do you offer 1:1 coaching?",Message sent successfully.
coachvalj,"hey val, loving your whole approach – unlocking blocks in minutes is a game changer. are you offering 1:1s right now?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x000000010551d5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000105515e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104f80100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000104fc241c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104ffbba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000104fb70fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000104fb7d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001054e864c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001054eb988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001054cfa5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001054ec24c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x00000001054c0ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001055069dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000105506b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000105515ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001008355dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x000000010082de3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000100298100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001002da41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000100313ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001002cf0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x00000001002cfd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010080064c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000100803988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001007e7a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010080424c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x00000001007d8ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010081e9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010081eb58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x000000010082dad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,Error: Could not select the first result.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,Error: Could not select the first result.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,Error: Could not select the first result.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001029195dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000102911e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x000000010237c100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001023be41c cxxbridge1$string$len + 359536
4   chromedriver                        0x00000001023f7ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001023b30fc cxxbridge1$string$len + 313680
6   chromedriver                        0x00000001023b3d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001028e464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001028e7988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001028cba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001028e824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x00000001028bcce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001029029dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000102902b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000102911ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
coachvalj,"hey val, loving your whole approach – unlocking blocks in minutes is a game changer. are you offering 1:1s right now?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001046795dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104671e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001040dc100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010411e41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104157ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001041130fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000104113d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010464464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104647988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x000000010462ba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010464824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x000000010461cce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001046629dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104662b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104671ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
coachvalj,"hey val, loving your whole approach – unlocking blocks in minutes is a game changer. are you offering 1:1s right now?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001051995dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000105191e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104bfc100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000104c3e41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104c77ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000104c330fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000104c33d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010516464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000105167988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x000000010514ba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010516824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x000000010513cce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001051829dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000105182b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000105191ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000104fcd5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104fc5e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104a30100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000104a7241c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104aabba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000104a670fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000104a67d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000104f9864c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104f9b988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000104f7fa5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000104f9c24c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104f70ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000104fb69dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104fb6b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104fc5ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=130.0.6723.117)
Stacktrace:
0   chromedriver                        0x000000010498d5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104985e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001043f0100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001043cbb78 core::str::slice_error_fail::h1cab30ac4b13c655 + 3792
4   chromedriver                        0x0000000104458664 cxxbridge1$string$len + 515768
5   chromedriver                        0x000000010446b630 cxxbridge1$string$len + 593540
6   chromedriver                        0x00000001044270fc cxxbridge1$string$len + 313680
7   chromedriver                        0x0000000104427d4c cxxbridge1$string$len + 316832
8   chromedriver                        0x000000010495864c cxxbridge1$str$ptr + 3436672
9   chromedriver                        0x000000010495b988 cxxbridge1$str$ptr + 3449788
10  chromedriver                        0x000000010493fa5c cxxbridge1$str$ptr + 3335312
11  chromedriver                        0x000000010495c24c cxxbridge1$str$ptr + 3452032
12  chromedriver                        0x0000000104930ce8 cxxbridge1$str$ptr + 3274524
13  chromedriver                        0x00000001049769dc cxxbridge1$str$ptr + 3560464
14  chromedriver                        0x0000000104976b58 cxxbridge1$str$ptr + 3560844
15  chromedriver                        0x0000000104985ad4 cxxbridge1$str$ptr + 3622152
16  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
17  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
